pedestrianId simTime groupId-PID5
58 4.3 1
67 4.3 1
74 4.3 1
78 4.3 1
84 4.3 1
87 4.3 1
90 4.3 0
92 4.3 1
100 4.3 1
8 4.4 0
15 4.4 0
16 4.4 0
31 4.4 0
42 4.4 0
45 4.4 0
50 4.4 0
53 4.4 0
60 4.4 1
79 4.4 1
80 4.4 1
81 4.4 1
82 4.4 1
93 4.4 1
96 4.4 1
4 4.5 0
12 4.5 0
17 4.5 0
18 4.5 0
19 4.5 0
24 4.5 0
32 4.5 0
36 4.5 0
48 4.5 0
54 4.5 1
56 4.5 1
57 4.5 1
59 4.5 0
62 4.5 1
65 4.5 1
68 4.5 1
73 4.5 0
75 4.5 1
85 4.5 0
86 4.5 1
88 4.5 0
95 4.5 1
2 4.6 0
9 4.6 0
22 4.6 0
27 4.6 0
29 4.6 0
55 4.6 0
63 4.6 0
64 4.6 1
72 4.6 1
76 4.6 1
83 4.6 1
91 4.6 1
94 4.6 1
97 4.6 1
99 4.6 1
1 4.7 0
3 4.7 0
5 4.7 0
25 4.7 0
26 4.7 0
33 4.7 0
37 4.7 0
38 4.7 0
40 4.7 0
41 4.7 0
44 4.7 0
47 4.7 2
51 4.7 0
61 4.7 1
69 4.7 1
71 4.7 1
89 4.7 0
98 4.7 1
7 4.8 0
21 4.8 0
28 4.8 0
35 4.8 0
52 4.8 0
58 4.8 1
66 4.8 1
67 4.8 1
70 4.8 1
77 4.8 1
78 4.8 1
84 4.8 1
87 4.8 1
90 4.8 0
92 4.8 1
6 4.9 0
8 4.9 0
10 4.9 2
11 4.9 0
13 4.9 0
14 4.9 0
16 4.9 0
20 4.9 0
30 4.9 0
34 4.9 0
42 4.9 0
43 4.9 0
46 4.9 0
49 4.9 0
53 4.9 0
79 4.9 1
100 4.9 1
4 5.0 0
12 5.0 0
15 5.0 0
19 5.0 0
31 5.0 0
36 5.0 0
50 5.0 0
56 5.0 1
57 5.0 1
65 5.0 1
74 5.0 1
75 5.0 1
80 5.0 1
85 5.0 0
88 5.0 0
93 5.0 1
96 5.0 1
17 5.1 0
18 5.1 0
